ID,WIDTH,HEIGHT,AMOUNT,SEG,HOLD,LP,DP
0,19,46,38,1,1,1,7
1,19,46,1,1,1,1,7
2,19,46,19,1,1,1,7
3,19,46,19,1,1,1,7
4,19,46,1,1,1,1,7
5,18,45,1,1,1,1,7
6,18,45,2,1,1,1,7
7,18,45,1,1,1,1,7
8,19,45,1,1,1,1,7
9,18,45,21,1,1,1,7
10,18,45,11,1,1,1,7
11,18,45,39,1,1,1,7
12,17,43,4,1,1,1,7
13,17,43,3,1,1,1,7
14,17,43,1,1,1,1,7
15,19,50,4,1,2,1,4
16,19,49,16,1,2,1,4
17,19,46,2,1,2,1,4
18,19,48,1,1,2,1,5
19,17,47,1,1,2,1,5
20,17,47,6,1,2,1,5
21,19,46,1,1,2,1,5
22,18,52,69,1,2,1,6
23,21,52,1,1,2,1,6
24,18,52,22,1,2,1,6
25,19,50,2,1,2,1,6
26,20,49,3,1,2,1,6
27,18,47,2,1,2,1,6
28,17,47,2,1,2,1,6
29,17,47,3,1,2,1,6
30,17,47,11,1,2,1,6
31,19,46,12,1,2,1,6
32,17,42,2,1,2,1,7
33,17,42,1,1,2,1,7
34,18,46,40,2,3,1,4
35,18,46,50,2,3,1,4
36,19,46,25,2,3,1,4
37,19,46,35,2,3,1,4
38,19,46,3,2,3,1,4
39,18,48,4,2,4,1,4
40,19,48,22,2,4,1,4
41,19,48,1,2,4,1,4
42,19,48,2,2,4,1,4
43,19,47,2,2,4,1,4
44,18,47,4,2,4,1,4
45,18,46,15,2,4,1,4
46,18,46,54,2,4,1,4
47,18,46,12,2,4,1,4
48,18,46,12,2,4,1,4
